序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
15,pt14,3483083.0498,1224238.1224,35.0035," 31:14:40.84296"," 121:35:32.85711",35.0035,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:25.0,2020-01-02 11:12:25.0,2020-01-02 03:12:25.0,2020-01-02 03:12:25.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:54:09.06"
16,pt15,3483083.0482,1224238.1218,35.0075," 31:14:40.84291"," 121:35:32.85709",35.0075,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:26.0,2020-01-02 11:12:26.0,2020-01-02 03:12:26.0,2020-01-02 03:12:26.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 194:30:39.77"
17,pt16,3483083.0487,1224238.1223,35.0085," 31:14:40.84293"," 121:35:32.85711",35.0085,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:27.0,2020-01-02 11:12:27.0,2020-01-02 03:12:27.0,2020-01-02 03:12:27.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:38:33.06"
18,pt17,3483083.0491,1224238.1216,35.0045," 31:14:40.84294"," 121:35:32.85708",35.0045,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:28.0,2020-01-02 11:12:28.0,2020-01-02 03:12:28.0,2020-01-02 03:12:28.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:37"," 197:19:06.17"
19,pt18,3483083.0502,1224238.1211,34.9995," 31:14:40.84298"," 121:35:32.85707",34.9995,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:29.0,2020-01-02 11:12:29.0,2020-01-02 03:12:29.0,2020-01-02 03:12:29.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:51:16.23"
20,pt19,3483083.0470,1224238.1223,35.0045," 31:14:40.84287"," 121:35:32.85710",35.0045,1.5125,0.0080,0.0070,0.0190,1,RTK固定解,2020-01-02 11:12:30.0,2020-01-02 11:12:30.0,2020-01-02 03:12:30.0,2020-01-02 03:12:30.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:53:40.23"
21,pt20,3483083.0515,1224238.1233,35.0025," 31:14:40.84302"," 121:35:32.85715",35.0025,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:31.0,2020-01-02 11:12:31.0,2020-01-02 03:12:31.0,2020-01-02 03:12:31.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:09"," 195:16:54.09"
22,pt21,3483083.0488,1224238.1249,35.0075," 31:14:40.84293"," 121:35:32.85721",35.0075,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:32.0,2020-01-02 11:12:32.0,2020-01-02 03:12:32.0,2020-01-02 03:12:32.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:51:52.23"
23,pt22,3483083.0497,1224238.1215,35.0025," 31:14:40.84296"," 121:35:32.85708",35.0025,1.5125,0.0080,0.0070,0.0190,1,RTK固定解,2020-01-02 11:12:33.0,2020-01-02 11:12:33.0,2020-01-02 03:12:33.0,2020-01-02 03:12:33.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 196:26:04.23"
24,pt23,3483083.0485,1224238.1249,35.0035," 31:14:40.84292"," 121:35:32.85720",35.0035,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:34.0,2020-01-02 11:12:34.0,2020-01-02 03:12:34.0,2020-01-02 03:12:34.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:47:33.06"
25,pt24,3483083.0511,1224238.1230,35.0065," 31:14:40.84300"," 121:35:32.85714",35.0065,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:35.0,2020-01-02 11:12:35.0,2020-01-02 03:12:35.0,2020-01-02 03:12:35.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:47:40.23"
26,pt25,3483083.0481,1224238.1240,35.0035," 31:14:40.84291"," 121:35:32.85717",35.0035,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:36.0,2020-01-02 11:12:36.0,2020-01-02 03:12:36.0,2020-01-02 03:12:36.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 195:36:00.72"
27,pt26,3483083.0492,1224238.1244,35.0005," 31:14:40.84294"," 121:35:32.85719",35.0005,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:37.0,2020-01-02 11:12:37.0,2020-01-02 03:12:37.0,2020-01-02 03:12:37.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:09"," 194:11:25.30"
28,pt27,3483083.0482,1224238.1244,34.9995," 31:14:40.84291"," 121:35:32.85718",34.9995,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:38.0,2020-01-02 11:12:38.0,2020-01-02 03:12:38.0,2020-01-02 03:12:38.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 194:55:15.62"
29,pt28,3483083.0463,1224238.1246,35.0135," 31:14:40.84285"," 121:35:32.85719",35.0135,1.5125,0.0080,0.0070,0.0200,1,RTK固定解,2020-01-02 11:12:39.0,2020-01-02 11:12:39.0,2020-01-02 03:12:39.0,2020-01-02 03:12:39.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:18"," 195:09:50.70"
30,pt29,3483083.0480,1224238.1234,34.9985," 31:14:40.84291"," 121:35:32.85715",34.9985,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:12:40.0,2020-01-02 11:12:40.0,2020-01-02 03:12:40.0,2020-01-02 03:12:40.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:45:09.06"
31,pt30,3483083.0480,1224238.1242,35.0075," 31:14:40.84290"," 121:35:32.85718",35.0075,1.5125,0.0070,0.0070,0.0190,1,RTK固定解,2020-01-02 11:12:41.0,2020-01-02 11:12:41.0,2020-01-02 03:12:41.0,2020-01-02 03:12:41.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 194:57:39.77"
