序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
11,pt10,3483083.0489,1224238.1212,35.0015," 31:14:40.84294"," 121:35:32.85707",35.0015,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:21.0,2020-01-02 11:12:21.0,2020-01-02 03:12:21.0,2020-01-02 03:12:21.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:09"," 195:37:18.09"," -00:28:48"," -00:29:24"," 150:01:48.00"," 31:14:40.85892"," 121:35:32.86427",35.0015,742.0755," 172:06:40.89633",0.0000,,,-2859303.1176,4649101.2305,3289135.3372,0:0:0
12,pt11,3483083.0514,1224238.1209,35.0055," 31:14:40.84302"," 121:35:32.85706",35.0055,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:22.0,2020-01-02 11:12:22.0,2020-01-02 03:12:22.0,2020-01-02 03:12:22.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 196:23:04.23"," -00:28:12"," -00:29:24"," 150:11:24.00"," 31:14:40.85900"," 121:35:32.86426",35.0055,742.0781," 172:06:40.90497",0.0000,,,-2859303.1186,4649101.2323,3289135.3415,0:0:0
13,pt12,3483083.0506,1224238.1223,34.9965," 31:14:40.84299"," 121:35:32.85711",34.9965,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:23.0,2020-01-02 11:12:23.0,2020-01-02 03:12:23.0,2020-01-02 03:12:23.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 194:49:15.77"," -00:29:24"," -00:29:24"," 149:49:12.00"," 31:14:40.85897"," 121:35:32.86431",34.9965,742.0770," 172:06:41.26564",0.0000,,,-2859303.1159,4649101.2255,3289135.3360,0:0:0
14,pt13,3483083.0494,1224238.1240,35.0035," 31:14:40.84295"," 121:35:32.85717",35.0035,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:24.0,2020-01-02 11:12:24.0,2020-01-02 03:12:24.0,2020-01-02 03:12:24.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:42:00"," 195:17:23.29"," -00:29:24"," -00:30:00"," 149:42:36.00"," 31:14:40.85893"," 121:35:32.86438",35.0035,742.0757," 172:06:41.69040",0.0000,,,-2859303.1208,4649101.2303,3289135.3385,0:0:0
15,pt14,3483083.0498,1224238.1224,35.0035," 31:14:40.84296"," 121:35:32.85711",35.0035,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:25.0,2020-01-02 11:12:25.0,2020-01-02 03:12:25.0,2020-01-02 03:12:25.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:54:09.06"," -00:28:12"," -00:30:00"," 150:07:48.00"," 31:14:40.85895"," 121:35:32.86431",35.0035,742.0762," 172:06:41.25454",0.0000,,,-2859303.1193,4649101.2309,3289135.3389,0:0:0
16,pt15,3483083.0482,1224238.1218,35.0075," 31:14:40.84291"," 121:35:32.85709",35.0075,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:26.0,2020-01-02 11:12:26.0,2020-01-02 03:12:26.0,2020-01-02 03:12:26.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 194:30:39.77"," -00:29:24"," -00:29:24"," 149:30:36.00"," 31:14:40.85890"," 121:35:32.86429",35.0075,742.0748," 172:06:41.02242",0.0000,,,-2859303.1209,4649101.2349,3289135.3397,0:0:0
17,pt16,3483083.0487,1224238.1223,35.0085," 31:14:40.84293"," 121:35:32.85711",35.0085,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:27.0,2020-01-02 11:12:27.0,2020-01-02 03:12:27.0,2020-01-02 03:12:27.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:38:33.06"," -00:28:12"," -00:30:00"," 149:52:12.00"," 31:14:40.85891"," 121:35:32.86431",35.0085,742.0752," 172:06:41.19007",0.0000,,,-2859303.1217,4649101.2351,3289135.3406,0:0:0
18,pt17,3483083.0491,1224238.1216,35.0045," 31:14:40.84294"," 121:35:32.85708",35.0045,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:28.0,2020-01-02 11:12:28.0,2020-01-02 03:12:28.0,2020-01-02 03:12:28.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:37"," 197:19:06.17"," -00:28:12"," -00:30:36"," 149:58:48.00"," 31:14:40.85893"," 121:35:32.86428",35.0045,742.0757," 172:06:41.00481",0.0000,,,-2859303.1192,4649101.2324,3289135.3389,0:0:0
19,pt18,3483083.0502,1224238.1211,34.9995," 31:14:40.84298"," 121:35:32.85707",34.9995,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:29.0,2020-01-02 11:12:29.0,2020-01-02 03:12:29.0,2020-01-02 03:12:29.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:51:16.23"," -00:28:12"," -00:29:24"," 149:39:36.00"," 31:14:40.85896"," 121:35:32.86427",34.9995,742.0768," 172:06:40.91254",0.0000,,,-2859303.1163,4649101.2284,3289135.3373,0:0:0
20,pt19,3483083.0470,1224238.1223,35.0045," 31:14:40.84287"," 121:35:32.85710",35.0045,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0190,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:30.0,2020-01-02 11:12:30.0,2020-01-02 03:12:30.0,2020-01-02 03:12:30.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:53:40.23"," -00:28:12"," -00:29:24"," 149:42:00.00"," 31:14:40.85886"," 121:35:32.86431",35.0045,742.0735," 172:06:41.13565",0.0000,,,-2859303.1203,4649101.2330,3289135.3371,0:0:0
21,pt20,3483083.0515,1224238.1233,35.0025," 31:14:40.84302"," 121:35:32.85715",35.0025,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:31.0,2020-01-02 11:12:31.0,2020-01-02 03:12:31.0,2020-01-02 03:12:31.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:09"," 195:16:54.09"," -00:28:48"," -00:29:24"," 149:41:24.00"," 31:14:40.85900"," 121:35:32.86435",35.0025,742.0779," 172:06:41.58193",0.0000,,,-2859303.1193,4649101.2289,3289135.3399,0:0:0
22,pt21,3483083.0488,1224238.1249,35.0075," 31:14:40.84293"," 121:35:32.85721",35.0075,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:32.0,2020-01-02 11:12:32.0,2020-01-02 03:12:32.0,2020-01-02 03:12:32.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:51:52.23"," -00:28:12"," -00:29:24"," 149:40:12.00"," 31:14:40.85891"," 121:35:32.86441",35.0075,742.0749," 172:06:41.91071",0.0000,,,-2859303.1235,4649101.2331,3289135.3400,0:0:0
23,pt22,3483083.0497,1224238.1215,35.0025," 31:14:40.84296"," 121:35:32.85708",35.0025,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0190,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:33.0,2020-01-02 11:12:33.0,2020-01-02 03:12:33.0,2020-01-02 03:12:33.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 196:26:04.23"," -00:28:12"," -00:29:24"," 150:14:24.00"," 31:14:40.85894"," 121:35:32.86428",35.0025,742.0763," 172:06:41.01168",0.0000,,,-2859303.1181,4649101.2307,3289135.3384,0:0:0
24,pt23,3483083.0485,1224238.1249,35.0035," 31:14:40.84292"," 121:35:32.85720",35.0035,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:34.0,2020-01-02 11:12:34.0,2020-01-02 03:12:34.0,2020-01-02 03:12:34.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:47:33.06"," -00:28:12"," -00:30:00"," 150:01:12.00"," 31:14:40.85890"," 121:35:32.86440",35.0035,742.0747," 172:06:41.88817",0.0000,,,-2859303.1217,4649101.2303,3289135.3377,0:0:0
25,pt24,3483083.0511,1224238.1230,35.0065," 31:14:40.84300"," 121:35:32.85714",35.0065,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:35.0,2020-01-02 11:12:35.0,2020-01-02 03:12:35.0,2020-01-02 03:12:35.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 195:47:40.23"," -00:28:12"," -00:29:24"," 149:36:00.00"," 31:14:40.85899"," 121:35:32.86434",35.0065,742.0774," 172:06:41.45865",0.0000,,,-2859303.1209,4649101.2322,3289135.3416,0:0:0
26,pt25,3483083.0481,1224238.1240,35.0035," 31:14:40.84291"," 121:35:32.85717",35.0035,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:36.0,2020-01-02 11:12:36.0,2020-01-02 03:12:36.0,2020-01-02 03:12:36.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 195:36:00.72"," -00:28:48"," -00:30:00"," 149:25:48.00"," 31:14:40.85889"," 121:35:32.86437",35.0035,742.0744," 172:06:41.63527",0.0000,,,-2859303.1211,4649101.2309,3289135.3375,0:0:0
27,pt26,3483083.0492,1224238.1244,35.0005," 31:14:40.84294"," 121:35:32.85719",35.0005,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:37.0,2020-01-02 11:12:37.0,2020-01-02 03:12:37.0,2020-01-02 03:12:37.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:09"," 194:11:25.30"," -00:29:24"," -00:28:48"," 149:46:48.00"," 31:14:40.85892"," 121:35:32.86439",35.0005,742.0754," 172:06:41.79219",0.0000,,,-2859303.1198,4649101.2280,3289135.3368,0:0:0
28,pt27,3483083.0482,1224238.1244,34.9995," 31:14:40.84291"," 121:35:32.85718",34.9995,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:38.0,2020-01-02 11:12:38.0,2020-01-02 03:12:38.0,2020-01-02 03:12:38.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:44"," 194:55:15.62"," -00:28:48"," -00:28:48"," 149:55:12.00"," 31:14:40.85889"," 121:35:32.86438",34.9995,742.0744," 172:06:41.73759",0.0000,,,-2859303.1196,4649101.2278,3289135.3354,0:0:0
29,pt28,3483083.0463,1224238.1246,35.0135," 31:14:40.84285"," 121:35:32.85719",35.0135,,,,,,,1.5125,0.0080,0.0070,0.0106,0.0200,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:39.0,2020-01-02 11:12:39.0,2020-01-02 03:12:39.0,2020-01-02 03:12:39.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:40:18"," 195:09:50.70"," -00:28:12"," -00:28:48"," 149:33:36.00"," 31:14:40.85883"," 121:35:32.86439",35.0135,742.0726," 172:06:41.74128",0.0000,,,-2859303.1265,4649101.2387,3289135.3411,0:0:0
30,pt29,3483083.0480,1224238.1234,34.9985," 31:14:40.84291"," 121:35:32.85715",34.9985,,,,,,,1.5125,0.0070,0.0070,0.0099,0.0190,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:40.0,2020-01-02 11:12:40.0,2020-01-02 03:12:40.0,2020-01-02 03:12:40.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:10"," 196:45:09.06"," -00:28:12"," -00:30:00"," 149:58:48.00"," 31:14:40.85889"," 121:35:32.86435",34.9985,742.0744," 172:06:41.46727",0.0000,,,-2859303.1183,4649101.2276,3289135.3348,0:0:0
31,pt30,3483083.0480,1224238.1242,35.0075," 31:14:40.84290"," 121:35:32.85718",35.0075,,,,,,,1.5125,0.0070,0.0070,0.0099,0.0190,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:41.0,2020-01-02 11:12:41.0,2020-01-02 03:12:41.0,2020-01-02 03:12:41.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 194:57:39.77"," -00:29:24"," -00:29:24"," 149:57:36.00"," 31:14:40.85888"," 121:35:32.86438",35.0075,742.0742," 172:06:41.68494",0.0000,,,-2859303.1231,4649101.2338,3289135.3394,0:0:0
32,pt31,3483083.0498,1224238.1240,35.0025," 31:14:40.84296"," 121:35:32.85717",35.0025,,,,,,,1.5125,0.0070,0.0070,0.0099,0.0190,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:42.0,2020-01-02 11:12:42.0,2020-01-02 03:12:42.0,2020-01-02 03:12:42.0,,1.0,34,21,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:16"," 199:05:19.18"," -00:27:00"," -00:31:12"," 149:57:36.00"," 31:14:40.85894"," 121:35:32.86437",35.0025,742.0760," 172:06:41.69305",0.0000,,,-2859303.1202,4649101.2294,3289135.3383,0:0:0
33,pt32,3483083.0500,1224238.1266,35.0005," 31:14:40.84296"," 121:35:32.85727",35.0005,,,,,,,1.5125,0.0070,0.0070,0.0099,0.0190,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 11:12:43.0,2020-01-02 11:12:43.0,2020-01-02 03:12:43.0,2020-01-02 03:12:43.0,,1.0,34,20,1.5000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:41:35"," 194:10:51.77"," -00:29:24"," -00:29:24"," 149:10:48.00"," 31:14:40.85894"," 121:35:32.86447",35.0005,742.0759," 172:06:42.40734",0.0000,,,-2859303.1215,4649101.2266,3289135.3374,0:0:0
