序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
15,pt14,3483083.0571,1224238.1214,35.0075," 31:14:40.84320"," 121:35:32.85709",35.0075,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:51.0,2020-01-02 10:49:51.0,2020-01-02 02:49:51.0,2020-01-02 02:49:51.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 195:32:14.70"
16,pt15,3483083.0583,1224238.1207,35.0065," 31:14:40.84324"," 121:35:32.85707",35.0065,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:52.0,2020-01-02 10:49:52.0,2020-01-02 02:49:52.0,2020-01-02 02:49:52.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:44:34.44"
17,pt16,3483083.0563,1224238.1182,35.0075," 31:14:40.84318"," 121:35:32.85698",35.0075,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:53.0,2020-01-02 10:49:53.0,2020-01-02 02:49:53.0,2020-01-02 02:49:53.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:24:46.44"
18,pt17,3483083.0595,1224238.1191,35.0015," 31:14:40.84328"," 121:35:32.85702",35.0015,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:54.0,2020-01-02 10:49:54.0,2020-01-02 02:49:54.0,2020-01-02 02:49:54.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 195:14:14.70"
19,pt18,3483083.0579,1224238.1203,35.0035," 31:14:40.84323"," 121:35:32.85706",35.0035,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:55.0,2020-01-02 10:49:55.0,2020-01-02 02:49:55.0,2020-01-02 02:49:55.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:03:10.44"
20,pt19,3483083.0577,1224238.1210,35.0015," 31:14:40.84322"," 121:35:32.85708",35.0015,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:56.0,2020-01-02 10:49:56.0,2020-01-02 02:49:56.0,2020-01-02 02:49:56.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:07:22.44"
21,pt20,3483083.0556,1224238.1227,35.0055," 31:14:40.84315"," 121:35:32.85714",35.0055,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:57.0,2020-01-02 10:49:57.0,2020-01-02 02:49:57.0,2020-01-02 02:49:57.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:43:36.72"
22,pt21,3483083.0548,1224238.1186,35.0125," 31:14:40.84313"," 121:35:32.85698",35.0125,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:58.0,2020-01-02 10:49:58.0,2020-01-02 02:49:58.0,2020-01-02 02:49:58.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:16"," 195:02:28.09"
23,pt22,3483083.0533,1224238.1240,35.0015," 31:14:40.84307"," 121:35:32.85718",35.0015,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:49:59.0,2020-01-02 10:49:59.0,2020-01-02 02:49:59.0,2020-01-02 02:49:59.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:32:34.44"
24,pt23,3483083.0512,1224238.1195,35.0095," 31:14:40.84302"," 121:35:32.85701",35.0095,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:50:00.0,2020-01-02 10:50:00.0,2020-01-02 02:50:00.0,2020-01-02 02:50:00.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:39:24.72"
