序号,点名,N,E,Z,B,L,H,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角
193,pt192,3483083.0608,1224238.1232,35.0095," 31:14:40.84332"," 121:35:32.85717",35.0095,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:49.0,2020-01-02 10:52:49.0,2020-01-02 02:52:49.0,2020-01-02 02:52:49.0,,2.0,32,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:42:26"," 196:07:00.72"
194,pt193,3483083.0632,1224238.1269,35.0025," 31:14:40.84339"," 121:35:32.85732",35.0025,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:50.0,2020-01-02 10:52:50.0,2020-01-02 02:52:50.0,2020-01-02 02:52:50.0,,2.0,32,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:18"," 197:04:36.86"
195,pt194,3483083.0625,1224238.1245,35.0105," 31:14:40.84337"," 121:35:32.85723",35.0105,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:51.0,2020-01-02 10:52:51.0,2020-01-02 02:52:51.0,2020-01-02 02:52:51.0,,2.0,32,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:27:28.09"
196,pt195,3483083.0642,1224238.1223,35.0055," 31:14:40.84343"," 121:35:32.85715",35.0055,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:52.0,2020-01-02 10:52:52.0,2020-01-02 02:52:52.0,2020-01-02 02:52:52.0,,1.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:45"," 198:24:01.29"
197,pt196,3483083.0626,1224238.1235,35.0025," 31:14:40.84337"," 121:35:32.85719",35.0025,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:53.0,2020-01-02 10:52:53.0,2020-01-02 02:52:53.0,2020-01-02 02:52:53.0,,1.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 195:04:38.70"
198,pt197,3483083.0624,1224238.1225,35.0035," 31:14:40.84337"," 121:35:32.85715",35.0035,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:54.0,2020-01-02 10:52:54.0,2020-01-02 02:52:54.0,2020-01-02 02:52:54.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 195:51:26.70"
199,pt198,3483083.0627,1224238.1232,35.0055," 31:14:40.84338"," 121:35:32.85718",35.0055,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:55.0,2020-01-02 10:52:55.0,2020-01-02 02:52:55.0,2020-01-02 02:52:55.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:51:10.44"
200,pt199,3483083.0602,1224238.1205,35.0045," 31:14:40.84330"," 121:35:32.85707",35.0045,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:56.0,2020-01-02 10:52:56.0,2020-01-02 02:52:56.0,2020-01-02 02:52:56.0,,1.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:17"," 195:44:04.03"
201,pt200,3483083.0606,1224238.1225,35.0085," 31:14:40.84331"," 121:35:32.85715",35.0085,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:57.0,2020-01-02 10:52:57.0,2020-01-02 02:52:57.0,2020-01-02 02:52:57.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:42:54"," 198:00:18.93"
202,pt201,3483083.0654,1224238.1224,35.0035," 31:14:40.84346"," 121:35:32.85715",35.0035,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:58.0,2020-01-02 10:52:58.0,2020-01-02 02:52:58.0,2020-01-02 02:52:58.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:17"," 196:06:52.03"
203,pt202,3483083.0650,1224238.1237,35.0025," 31:14:40.84345"," 121:35:32.85720",35.0025,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:52:59.0,2020-01-02 10:52:59.0,2020-01-02 02:52:59.0,2020-01-02 02:52:59.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:09"," 197:05:01.70"
204,pt203,3483083.0602,1224238.1256,35.0015," 31:14:40.84329"," 121:35:32.85726",35.0015,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:00.0,2020-01-02 10:53:00.0,2020-01-02 02:53:00.0,2020-01-02 02:53:00.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:00:46.44"
205,pt204,3483083.0603,1224238.1242,35.0125," 31:14:40.84330"," 121:35:32.85721",35.0125,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:01.0,2020-01-02 10:53:01.0,2020-01-02 02:53:01.0,2020-01-02 02:53:01.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:14:34.44"
206,pt205,3483083.0613,1224238.1224,34.9995," 31:14:40.84333"," 121:35:32.85714",34.9995,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:02.0,2020-01-02 10:53:02.0,2020-01-02 02:53:02.0,2020-01-02 02:53:02.0,,2.0,32,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:12"," 198:06:11.11"
207,pt206,3483083.0588,1224238.1240,35.0095," 31:14:40.84325"," 121:35:32.85720",35.0095,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:03.0,2020-01-02 10:53:03.0,2020-01-02 02:53:03.0,2020-01-02 02:53:03.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:45:28.09"
208,pt207,3483083.0629,1224238.1239,35.0115," 31:14:40.84338"," 121:35:32.85720",35.0115,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:04.0,2020-01-02 10:53:04.0,2020-01-02 02:53:04.0,2020-01-02 02:53:04.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:58"," 194:48:40.41"
209,pt208,3483083.0629,1224238.1251,35.0095," 31:14:40.84338"," 121:35:32.85725",35.0095,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:05.0,2020-01-02 10:53:05.0,2020-01-02 02:53:05.0,2020-01-02 02:53:05.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:41:12.72"
210,pt209,3483083.0603,1224238.1243,35.0105," 31:14:40.84330"," 121:35:32.85721",35.0105,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:06.0,2020-01-02 10:53:06.0,2020-01-02 02:53:06.0,2020-01-02 02:53:06.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:59"," 195:39:43.79"
211,pt210,3483083.0613,1224238.1238,35.0065," 31:14:40.84333"," 121:35:32.85720",35.0065,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:07.0,2020-01-02 10:53:07.0,2020-01-02 02:53:07.0,2020-01-02 02:53:07.0,,2.0,32,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:39:28.09"
212,pt211,3483083.0631,1224238.1224,35.0065," 31:14:40.84339"," 121:35:32.85715",35.0065,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:08.0,2020-01-02 10:53:08.0,2020-01-02 02:53:08.0,2020-01-02 02:53:08.0,,2.0,32,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:46:22.44"
213,pt212,3483083.0606,1224238.1210,35.0135," 31:14:40.84332"," 121:35:32.85709",35.0135,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:09.0,2020-01-02 10:53:09.0,2020-01-02 02:53:09.0,2020-01-02 02:53:09.0,,2.0,32,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:31:36.72"
214,pt213,3483083.0566,1224238.1211,35.0075," 31:14:40.84319"," 121:35:32.85708",35.0075,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:10.0,2020-01-02 10:53:10.0,2020-01-02 02:53:10.0,2020-01-02 02:53:10.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:15:10.44"
215,pt214,3483083.0601,1224238.1222,35.0115," 31:14:40.84330"," 121:35:32.85713",35.0115,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:11.0,2020-01-02 10:53:11.0,2020-01-02 02:53:11.0,2020-01-02 02:53:11.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:52:22.44"
216,pt215,3483083.0610,1224238.1221,35.0115," 31:14:40.84332"," 121:35:32.85713",35.0115,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:12.0,2020-01-02 10:53:12.0,2020-01-02 02:53:12.0,2020-01-02 02:53:12.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:09:28.09"
217,pt216,3483083.0617,1224238.1230,35.0095," 31:14:40.84335"," 121:35:32.85717",35.0095,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:13.0,2020-01-02 10:53:13.0,2020-01-02 02:53:13.0,2020-01-02 02:53:13.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:59"," 196:00:43.79"
218,pt217,3483083.0622,1224238.1204,35.0105," 31:14:40.84337"," 121:35:32.85707",35.0105,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:14.0,2020-01-02 10:53:14.0,2020-01-02 02:53:14.0,2020-01-02 02:53:14.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:59"," 195:16:19.79"
219,pt218,3483083.0604,1224238.1223,35.0125," 31:14:40.84330"," 121:35:32.85714",35.0125,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:15.0,2020-01-02 10:53:15.0,2020-01-02 02:53:15.0,2020-01-02 02:53:15.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:28:40.09"
220,pt219,3483083.0590,1224238.1205,35.0145," 31:14:40.84326"," 121:35:32.85707",35.0145,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:16.0,2020-01-02 10:53:16.0,2020-01-02 02:53:16.0,2020-01-02 02:53:16.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:45:49"," 194:27:40.58"
221,pt220,3483083.0589,1224238.1200,35.0115," 31:14:40.84326"," 121:35:32.85705",35.0115,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:17.0,2020-01-02 10:53:17.0,2020-01-02 02:53:17.0,2020-01-02 02:53:17.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:58"," 194:42:40.41"
222,pt221,3483083.0615,1224238.1209,35.0125," 31:14:40.84334"," 121:35:32.85709",35.0125,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:18.0,2020-01-02 10:53:18.0,2020-01-02 02:53:18.0,2020-01-02 02:53:18.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:35:12.72"
223,pt222,3483083.0601,1224238.1204,35.0065," 31:14:40.84330"," 121:35:32.85707",35.0065,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:19.0,2020-01-02 10:53:19.0,2020-01-02 02:53:19.0,2020-01-02 02:53:19.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:07"," 194:36:04.25"
224,pt223,3483083.0602,1224238.1206,35.0095," 31:14:40.84330"," 121:35:32.85707",35.0095,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:20.0,2020-01-02 10:53:20.0,2020-01-02 02:53:20.0,2020-01-02 02:53:20.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 194:32:43.93"
225,pt224,3483083.0622,1224238.1206,35.0075," 31:14:40.84337"," 121:35:32.85708",35.0075,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:21.0,2020-01-02 10:53:21.0,2020-01-02 02:53:21.0,2020-01-02 02:53:21.0,,2.0,32,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:59"," 195:46:55.79"
226,pt225,3483083.0599,1224238.1213,35.0105," 31:14:40.84329"," 121:35:32.85710",35.0105,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:22.0,2020-01-02 10:53:22.0,2020-01-02 02:53:22.0,2020-01-02 02:53:22.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 194:08:07.93"
227,pt226,3483083.0564,1224238.1229,35.0115," 31:14:40.84317"," 121:35:32.85715",35.0115,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:23.0,2020-01-02 10:53:23.0,2020-01-02 02:53:23.0,2020-01-02 02:53:23.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:59"," 195:30:43.79"
228,pt227,3483083.0605,1224238.1232,35.0055," 31:14:40.84331"," 121:35:32.85717",35.0055,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:24.0,2020-01-02 10:53:24.0,2020-01-02 02:53:24.0,2020-01-02 02:53:24.0,,1.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:20:12.72"
229,pt228,3483083.0615,1224238.1240,35.0075," 31:14:40.84334"," 121:35:32.85720",35.0075,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:25.0,2020-01-02 10:53:25.0,2020-01-02 02:53:25.0,2020-01-02 02:53:25.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:07"," 194:34:52.25"
230,pt229,3483083.0605,1224238.1241,35.0135," 31:14:40.84331"," 121:35:32.85720",35.0135,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:26.0,2020-01-02 10:53:26.0,2020-01-02 02:53:26.0,2020-01-02 02:53:26.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:46:22.44"
231,pt230,3483083.0616,1224238.1238,35.0075," 31:14:40.84334"," 121:35:32.85720",35.0075,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:27.0,2020-01-02 10:53:27.0,2020-01-02 02:53:27.0,2020-01-02 02:53:27.0,,1.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:59"," 196:20:31.79"
232,pt231,3483083.0617,1224238.1235,35.0105," 31:14:40.84335"," 121:35:32.85719",35.0105,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:28.0,2020-01-02 10:53:28.0,2020-01-02 02:53:28.0,2020-01-02 02:53:28.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:36:24.72"
233,pt232,3483083.0600,1224238.1225,35.0155," 31:14:40.84329"," 121:35:32.85714",35.0155,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:29.0,2020-01-02 10:53:29.0,2020-01-02 02:53:29.0,2020-01-02 02:53:29.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:54:10.44"
234,pt233,3483083.0612,1224238.1234,35.0165," 31:14:40.84333"," 121:35:32.85718",35.0165,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:30.0,2020-01-02 10:53:30.0,2020-01-02 02:53:30.0,2020-01-02 02:53:30.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 194:52:38.70"
235,pt234,3483083.0610,1224238.1223,35.0155," 31:14:40.84332"," 121:35:32.85714",35.0155,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:31.0,2020-01-02 10:53:31.0,2020-01-02 02:53:31.0,2020-01-02 02:53:31.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:36:46.44"
236,pt235,3483083.0619,1224238.1261,35.0145," 31:14:40.84335"," 121:35:32.85728",35.0145,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:32.0,2020-01-02 10:53:32.0,2020-01-02 02:53:32.0,2020-01-02 02:53:32.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:50:34.44"
237,pt236,3483083.0610,1224238.1229,35.0085," 31:14:40.84332"," 121:35:32.85716",35.0085,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:33.0,2020-01-02 10:53:33.0,2020-01-02 02:53:33.0,2020-01-02 02:53:33.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:59:34.44"
238,pt237,3483083.0625,1224238.1225,35.0095," 31:14:40.84337"," 121:35:32.85715",35.0095,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:34.0,2020-01-02 10:53:34.0,2020-01-02 02:53:34.0,2020-01-02 02:53:34.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:35:48.72"
239,pt238,3483083.0599,1224238.1210,35.0035," 31:14:40.84329"," 121:35:32.85709",35.0035,1.5125,0.0090,0.0080,0.0220,1,RTK固定解,2020-01-02 10:53:35.0,2020-01-02 10:53:35.0,2020-01-02 02:53:35.0,2020-01-02 02:53:35.0,,1.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:52:58.44"
240,pt239,3483083.0589,1224238.1216,35.0055," 31:14:40.84326"," 121:35:32.85711",35.0055,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:36.0,2020-01-02 10:53:36.0,2020-01-02 02:53:36.0,2020-01-02 02:53:36.0,,2.0,32,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:07"," 195:13:52.25"
241,pt240,3483083.0593,1224238.1227,35.0135," 31:14:40.84327"," 121:35:32.85715",35.0135,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:37.0,2020-01-02 10:53:37.0,2020-01-02 02:53:37.0,2020-01-02 02:53:37.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:26:48.72"
242,pt241,3483083.0618,1224238.1237,35.0105," 31:14:40.84335"," 121:35:32.85719",35.0105,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:38.0,2020-01-02 10:53:38.0,2020-01-02 02:53:38.0,2020-01-02 02:53:38.0,,2.0,31,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 196:20:14.70"
243,pt242,3483083.0605,1224238.1197,35.0065," 31:14:40.84331"," 121:35:32.85704",35.0065,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:39.0,2020-01-02 10:53:39.0,2020-01-02 02:53:39.0,2020-01-02 02:53:39.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:44:34.44"
244,pt243,3483083.0590,1224238.1208,35.0105," 31:14:40.84326"," 121:35:32.85708",35.0105,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:40.0,2020-01-02 10:53:40.0,2020-01-02 02:53:40.0,2020-01-02 02:53:40.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:20:16.09"
245,pt244,3483083.0610,1224238.1204,35.0085," 31:14:40.84333"," 121:35:32.85707",35.0085,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:41.0,2020-01-02 10:53:41.0,2020-01-02 02:53:41.0,2020-01-02 02:53:41.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:33"," 195:17:12.72"
246,pt245,3483083.0603,1224238.1201,35.0085," 31:14:40.84331"," 121:35:32.85705",35.0085,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:42.0,2020-01-02 10:53:42.0,2020-01-02 02:53:42.0,2020-01-02 02:53:42.0,,2.0,33,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:17"," 195:35:40.03"
247,pt246,3483083.0602,1224238.1215,35.0125," 31:14:40.84330"," 121:35:32.85711",35.0125,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:43.0,2020-01-02 10:53:43.0,2020-01-02 02:53:43.0,2020-01-02 02:53:43.0,,2.0,33,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:18"," 197:19:36.86"
248,pt247,3483083.0580,1224238.1208,35.0105," 31:14:40.84323"," 121:35:32.85707",35.0105,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:44.0,2020-01-02 10:53:44.0,2020-01-02 02:53:44.0,2020-01-02 02:53:44.0,,3.0,33,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:40:58.44"
249,pt248,3483083.0556,1224238.1196,35.0095," 31:14:40.84316"," 121:35:32.85702",35.0095,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:45.0,2020-01-02 10:53:45.0,2020-01-02 02:53:45.0,2020-01-02 02:53:45.0,,2.0,33,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:46:58.44"
250,pt249,3483083.0613,1224238.1209,35.0105," 31:14:40.84334"," 121:35:32.85709",35.0105,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:46.0,2020-01-02 10:53:46.0,2020-01-02 02:53:46.0,2020-01-02 02:53:46.0,,2.0,33,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:11:52.09"
251,pt250,3483083.0604,1224238.1228,35.0085," 31:14:40.84330"," 121:35:32.85716",35.0085,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:47.0,2020-01-02 10:53:47.0,2020-01-02 02:53:47.0,2020-01-02 02:53:47.0,,2.0,33,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:43"," 196:37:10.26"
252,pt251,3483083.0608,1224238.1245,35.0045," 31:14:40.84331"," 121:35:32.85722",35.0045,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:48.0,2020-01-02 10:53:48.0,2020-01-02 02:53:48.0,2020-01-02 02:53:48.0,,2.0,33,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:59"," 195:48:07.79"
253,pt252,3483083.0618,1224238.1224,35.0125," 31:14:40.84335"," 121:35:32.85715",35.0125,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:49.0,2020-01-02 10:53:49.0,2020-01-02 02:53:49.0,2020-01-02 02:53:49.0,,2.0,33,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:34"," 196:32:52.09"
254,pt253,3483083.0602,1224238.1229,35.0155," 31:14:40.84330"," 121:35:32.85716",35.0155,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:50.0,2020-01-02 10:53:50.0,2020-01-02 02:53:50.0,2020-01-02 02:53:50.0,,2.0,33,16,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:58"," 194:30:40.41"
255,pt254,3483083.0589,1224238.1223,35.0095," 31:14:40.84326"," 121:35:32.85713",35.0095,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:51.0,2020-01-02 10:53:51.0,2020-01-02 02:53:51.0,2020-01-02 02:53:51.0,,2.0,33,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:07"," 194:52:16.25"
256,pt255,3483083.0607,1224238.1199,35.0115," 31:14:40.84332"," 121:35:32.85705",35.0115,1.5125,0.0090,0.0080,0.0230,1,RTK固定解,2020-01-02 10:53:52.0,2020-01-02 10:53:52.0,2020-01-02 02:53:52.0,2020-01-02 02:53:52.0,,2.0,32,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 195:21:26.70"
