序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
11,pt10,3483083.0574,1224238.1207,35.0095," 31:14:40.84321"," 121:35:32.85707",35.0095,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:47.0,2020-01-02 10:49:47.0,2020-01-02 02:49:47.0,2020-01-02 02:49:47.0,,2.0,31,14,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:17:34.44"," -00:30:36"," -00:31:48"," 150:11:24.00"," 31:14:40.85919"," 121:35:32.86427",35.0095,929.4889," 46:38:23.59897",0.0000,,,-2859303.1190,4649101.2325,3289135.3486,0:0:0
12,pt11,3483083.0567,1224238.1203,35.0095," 31:14:40.84319"," 121:35:32.85705",35.0095,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:48.0,2020-01-02 10:49:48.0,2020-01-02 02:49:48.0,2020-01-02 02:49:48.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:39:10.44"," -00:30:36"," -00:31:48"," 149:33:00.00"," 31:14:40.85918"," 121:35:32.86425",35.0095,929.4896," 46:38:23.56467",0.0000,,,-2859303.1187,4649101.2330,3289135.3481,0:0:0
13,pt12,3483083.0562,1224238.1188,35.0035," 31:14:40.84318"," 121:35:32.85699",35.0035,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:49.0,2020-01-02 10:49:49.0,2020-01-02 02:49:49.0,2020-01-02 02:49:49.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:18"," 197:17:12.86"," -00:29:24"," -00:31:48"," 150:02:24.00"," 31:14:40.85916"," 121:35:32.86420",35.0035,929.4911," 46:38:23.70780",0.0000,,,-2859303.1148,4649101.2296,3289135.3446,0:0:0
14,pt13,3483083.0565,1224238.1211,35.0125," 31:14:40.84318"," 121:35:32.85708",35.0125,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:50.0,2020-01-02 10:49:50.0,2020-01-02 02:49:50.0,2020-01-02 02:49:50.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:42:26"," 194:47:27.93"," -00:30:00"," -00:30:00"," 149:47:24.00"," 31:14:40.85916"," 121:35:32.86428",35.0125,929.4893," 46:38:23.39804",0.0000,,,-2859303.1208,4649101.2349,3289135.3494,0:0:0
15,pt14,3483083.0571,1224238.1214,35.0075," 31:14:40.84320"," 121:35:32.85709",35.0075,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:51.0,2020-01-02 10:49:51.0,2020-01-02 02:49:51.0,2020-01-02 02:49:51.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 195:32:14.70"," -00:30:36"," -00:31:12"," 149:58:48.00"," 31:14:40.85918"," 121:35:32.86429",35.0075,929.4886," 46:38:23.45378",0.0000,,,-2859303.1187,4649101.2309,3289135.3473,0:0:0
16,pt15,3483083.0583,1224238.1207,35.0065," 31:14:40.84324"," 121:35:32.85707",35.0065,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:52.0,2020-01-02 10:49:52.0,2020-01-02 02:49:52.0,2020-01-02 02:49:52.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:44:34.44"," -00:30:36"," -00:31:48"," 149:38:24.00"," 31:14:40.85922"," 121:35:32.86427",35.0065,929.4882," 46:38:23.75162",0.0000,,,-2859303.1174,4649101.2299,3289135.3478,0:0:0
17,pt16,3483083.0563,1224238.1182,35.0075," 31:14:40.84318"," 121:35:32.85698",35.0075,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:53.0,2020-01-02 10:49:53.0,2020-01-02 02:49:53.0,2020-01-02 02:49:53.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 195:24:46.44"," -00:30:36"," -00:31:48"," 149:18:36.00"," 31:14:40.85916"," 121:35:32.86418",35.0075,929.4914," 46:38:23.79838",0.0000,,,-2859303.1162,4649101.2328,3289135.3468,0:0:0
18,pt17,3483083.0595,1224238.1191,35.0015," 31:14:40.84328"," 121:35:32.85702",35.0015,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:54.0,2020-01-02 10:49:54.0,2020-01-02 02:49:54.0,2020-01-02 02:49:54.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:43:42"," 195:14:14.70"," -00:30:36"," -00:31:12"," 149:40:48.00"," 31:14:40.85927"," 121:35:32.86422",35.0015,929.4885," 46:38:24.19130",0.0000,,,-2859303.1135,4649101.2264,3289135.3464,0:0:0
19,pt18,3483083.0579,1224238.1203,35.0035," 31:14:40.84323"," 121:35:32.85706",35.0035,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:55.0,2020-01-02 10:49:55.0,2020-01-02 02:49:55.0,2020-01-02 02:49:55.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:03:10.44"," -00:30:36"," -00:31:48"," 149:57:00.00"," 31:14:40.85921"," 121:35:32.86426",35.0035,929.4888," 46:38:23.75628",0.0000,,,-2859303.1158,4649101.2281,3289135.3460,0:0:0
20,pt19,3483083.0577,1224238.1210,35.0015," 31:14:40.84322"," 121:35:32.85708",35.0015,,,,,,,1.5125,0.0090,0.0080,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2020-01-02 10:49:56.0,2020-01-02 10:49:56.0,2020-01-02 02:49:56.0,2020-01-02 02:49:56.0,,2.0,31,15,1.8000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:44:08"," 196:07:22.44"," -00:30:36"," -00:31:48"," 150:01:12.00"," 31:14:40.85921"," 121:35:32.86428",35.0015,929.4884," 46:38:23.61127",0.0000,,,-2859303.1156,4649101.2264,3289135.3447,0:0:0
