序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
11,pt10,3483083.0644,1224238.1242,35.0117," 31:14:40.84343"," 121:35:32.85722",35.0117,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:14.0,2019-12-25 10:27:14.0,2019-12-25 02:27:14.0,2019-12-25 02:27:14.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:30"," 138:20:08.50"," -00:34:48"," -00:36:36"," 91:53:24.00"," 31:14:40.85941"," 121:35:32.86442",35.0117,929.4815," 46:38:24.19953",0.0000,,,-2859303.1215,4649101.2290,3289135.3555,0:0:0
12,pt11,3483083.0629,1224238.1221,35.0137," 31:14:40.84339"," 121:35:32.85714",35.0137,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:15.0,2019-12-25 10:27:15.0,2019-12-25 02:27:15.0,2019-12-25 02:27:15.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:04"," 137:51:09.21"," -00:34:48"," -00:36:00"," 91:52:48.00"," 31:14:40.85937"," 121:35:32.86434",35.0137,929.4841," 46:38:24.27501",0.0000,,,-2859303.1208,4649101.2322,3289135.3553,0:0:0
13,pt12,3483083.0626,1224238.1224,35.0117," 31:14:40.84338"," 121:35:32.85715",35.0117,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:16.0,2019-12-25 10:27:16.0,2019-12-25 02:27:16.0,2019-12-25 02:27:16.0,,3.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:29"," 136:44:34.87"," -00:35:24"," -00:36:00"," 91:15:36.00"," 31:14:40.85936"," 121:35:32.86435",35.0117,929.4841," 46:38:24.19486",0.0000,,,-2859303.1202,4649101.2307,3289135.3541,0:0:0
14,pt13,3483083.0615,1224238.1263,35.0027," 31:14:40.84333"," 121:35:32.85729",35.0027,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:17.0,2019-12-25 10:27:17.0,2019-12-25 02:27:17.0,2019-12-25 02:27:17.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:29"," 137:12:46.87"," -00:35:24"," -00:36:00"," 91:43:48.00"," 31:14:40.85931"," 121:35:32.86449",35.0027,929.4820," 46:38:23.41951",0.0000,,,-2859303.1198,4649101.2228,3289135.3482,0:0:0
15,pt14,3483083.0612,1224238.1249,35.0097," 31:14:40.84332"," 121:35:32.85724",35.0097,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:18.0,2019-12-25 10:27:18.0,2019-12-25 02:27:18.0,2019-12-25 02:27:18.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:30"," 138:04:32.50"," -00:34:48"," -00:36:36"," 91:37:48.00"," 31:14:40.85931"," 121:35:32.86444",35.0097,929.4833," 46:38:23.57607",0.0000,,,-2859303.1218,4649101.2287,3289135.3517,0:0:0
16,pt15,3483083.0640,1224238.1240,35.0147," 31:14:40.84342"," 121:35:32.85721",35.0147,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:19.0,2019-12-25 10:27:19.0,2019-12-25 02:27:19.0,2019-12-25 02:27:19.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:51:46"," 137:18:41.85"," -00:36:36"," -00:36:36"," 92:18:36.00"," 31:14:40.85940"," 121:35:32.86441",35.0147,929.4820," 46:38:24.16151",0.0000,,,-2859303.1227,4649101.2315,3289135.3567,0:0:0
17,pt16,3483083.0630,1224238.1224,35.0187," 31:14:40.84339"," 121:35:32.85715",35.0187,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:20.0,2019-12-25 10:27:20.0,2019-12-25 02:27:20.0,2019-12-25 02:27:20.0,,2.0,37,22,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:51:20"," 137:02:42.41"," -00:36:00"," -00:36:36"," 91:34:12.00"," 31:14:40.85937"," 121:35:32.86435",35.0187,929.4838," 46:38:24.25022",0.0000,,,-2859303.1233,4649101.2356,3289135.3580,0:0:0
18,pt17,3483083.0603,1224238.1234,35.0087," 31:14:40.84330"," 121:35:32.85718",35.0087,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:21.0,2019-12-25 10:27:21.0,2019-12-25 02:27:21.0,2019-12-25 02:27:21.0,,2.0,37,22,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:30"," 138:03:20.50"," -00:34:48"," -00:36:36"," 91:36:36.00"," 31:14:40.85928"," 121:35:32.86438",35.0087,929.4850," 46:38:23.65583",0.0000,,,-2859303.1203,4649101.2292,3289135.3504,0:0:0
19,pt18,3483083.0629,1224238.1236,35.0107," 31:14:40.84338"," 121:35:32.85719",35.0107,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:22.0,2019-12-25 10:27:22.0,2019-12-25 02:27:22.0,2019-12-25 02:27:22.0,,2.0,37,22,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:30"," 138:17:08.50"," -00:34:48"," -00:36:36"," 91:50:24.00"," 31:14:40.85937"," 121:35:32.86439",35.0107,929.4830," 46:38:24.06197",0.0000,,,-2859303.1207,4649101.2293,3289135.3537,0:0:0
20,pt19,3483083.0610,1224238.1209,35.0197," 31:14:40.84333"," 121:35:32.85709",35.0197,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:23.0,2019-12-25 10:27:23.0,2019-12-25 02:27:23.0,2019-12-25 02:27:23.0,,2.0,37,22,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:50:55"," 137:53:47.14"," -00:35:24"," -00:36:36"," 91:56:24.00"," 31:14:40.85931"," 121:35:32.86429",35.0197,929.4863," 46:38:24.15869",0.0000,,,-2859303.1229,4649101.2381,3289135.3569,0:0:0
21,pt20,3483083.0620,1224238.1233,35.0137," 31:14:40.84336"," 121:35:32.85718",35.0137,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:24.0,2019-12-25 10:27:24.0,2019-12-25 02:27:24.0,2019-12-25 02:27:24.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:51:46"," 137:23:26.99"," -00:36:00"," -00:37:12"," 91:27:00.00"," 31:14:40.85934"," 121:35:32.86438",35.0137,929.4839," 46:38:23.96002",0.0000,,,-2859303.1220,4649101.2320,3289135.3545,0:0:0
22,pt21,3483083.0611,1224238.1235,35.0157," 31:14:40.84333"," 121:35:32.85718",35.0157,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:25.0,2019-12-25 10:27:25.0,2019-12-25 02:27:25.0,2019-12-25 02:27:25.0,,2.0,37,23,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:51:23"," 139:08:52.39"," -00:34:48"," -00:37:48"," 91:46:48.00"," 31:14:40.85931"," 121:35:32.86439",35.0157,929.4844," 46:38:23.77605",0.0000,,,-2859303.1233,4649101.2338,3289135.3548,0:0:0
23,pt22,3483083.0603,1224238.1255,35.0107," 31:14:40.84329"," 121:35:32.85726",35.0107,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:26.0,2019-12-25 10:27:26.0,2019-12-25 02:27:26.0,2019-12-25 02:27:26.0,,2.0,37,22,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:41"," 139:14:18.89"," -00:33:36"," -00:36:36"," 91:47:24.00"," 31:14:40.85928"," 121:35:32.86446",35.0107,929.4835," 46:38:23.34421",0.0000,,,-2859303.1230,4649101.2296,3289135.3513,0:0:0
24,pt23,3483083.0620,1224238.1234,35.0117," 31:14:40.84335"," 121:35:32.85718",35.0117,,,,,,,1.4793,0.0080,0.0070,0.0106,0.0180,1.3970,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 10:27:27.0,2019-12-25 10:27:27.0,2019-12-25 02:27:27.0,2019-12-25 02:27:27.0,,2.0,37,22,1.2000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:15"," 138:54:23.16"," -00:33:36"," -00:36:00"," 91:55:48.00"," 31:14:40.85934"," 121:35:32.86438",35.0117,929.4839," 46:38:23.93840",0.0000,,,-2859303.1212,4649101.2306,3289135.3534,0:0:0
