序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
11,pt10,3483083.0488,1224238.1240,35.0195," 31:14:40.84293"," 121:35:32.85717",35.0195,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:26.0,2019-12-25 14:31:26.0,2019-12-25 06:31:26.0,2019-12-25 06:31:26.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:57"," 147:08:43.37"," -00:36:36"," -00:29:24"," 108:22:12.00"," 31:14:40.85891"," 121:35:32.86437",35.0195,742.0751," 172:06:41.64725",0.0000,,,-2859303.1281,4649101.2423,3289135.3463,0:0:0
12,pt11,3483083.0477,1224238.1225,35.0055," 31:14:40.84290"," 121:35:32.85711",35.0055,,,,,,,1.5125,0.0070,0.0090,0.0114,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:27.0,2019-12-25 14:31:27.0,2019-12-25 06:31:27.0,2019-12-25 06:31:27.0,,1.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:29"," 147:21:30.83"," -00:36:00"," -00:29:24"," 108:07:12.00"," 31:14:40.85888"," 121:35:32.86431",35.0055,742.0742," 172:06:41.20257",0.0000,,,-2859303.1207,4649101.2333,3289135.3382,0:0:0
13,pt12,3483083.0503,1224238.1248,35.0085," 31:14:40.84298"," 121:35:32.85721",35.0085,,,,,,,1.5125,0.0070,0.0090,0.0114,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:28.0,2019-12-25 14:31:28.0,2019-12-25 06:31:28.0,2019-12-25 06:31:28.0,,1.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:57"," 146:03:55.37"," -00:36:36"," -00:29:24"," 107:17:24.00"," 31:14:40.85896"," 121:35:32.86441",35.0085,742.0765," 172:06:41.94911",0.0000,,,-2859303.1236,4649101.2331,3289135.3419,0:0:0
14,pt13,3483083.0462,1224238.1260,35.0015," 31:14:40.84284"," 121:35:32.85724",35.0015,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:29.0,2019-12-25 14:31:29.0,2019-12-25 06:31:29.0,2019-12-25 06:31:29.0,,1.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:47:19"," 146:58:18.34"," -00:36:36"," -00:30:00"," 107:37:48.00"," 31:14:40.85882"," 121:35:32.86444",35.0015,742.0723," 172:06:42.09913",0.0000,,,-2859303.1222,4649101.2294,3289135.3347,0:0:0
15,pt14,3483083.0482,1224238.1238,35.0025," 31:14:40.84291"," 121:35:32.85716",35.0025,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:30.0,2019-12-25 14:31:30.0,2019-12-25 06:31:30.0,2019-12-25 06:31:30.0,,2.0,33,17,1.9000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:47:19"," 146:55:54.34"," -00:36:36"," -00:30:00"," 107:35:24.00"," 31:14:40.85889"," 121:35:32.86436",35.0025,742.0744," 172:06:41.58314",0.0000,,,-2859303.1204,4649101.2303,3289135.3370,0:0:0
16,pt15,3483083.0505,1224238.1296,35.0135," 31:14:40.84297"," 121:35:32.85739",35.0135,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:31.0,2019-12-25 14:31:31.0,2019-12-25 06:31:31.0,2019-12-25 06:31:31.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:52"," 147:56:12.49"," -00:36:00"," -00:30:00"," 108:07:48.00"," 31:14:40.85895"," 121:35:32.86459",35.0135,742.0760," 172:06:43.25689",0.0000,,,-2859303.1299,4649101.2343,3289135.3443,0:0:0
17,pt16,3483083.0466,1224238.1264,35.0125," 31:14:40.84285"," 121:35:32.85725",35.0125,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:32.0,2019-12-25 14:31:32.0,2019-12-25 06:31:32.0,2019-12-25 06:31:32.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:01"," 147:34:15.97"," -00:35:24"," -00:29:24"," 107:51:36.00"," 31:14:40.85884"," 121:35:32.86446",35.0125,742.0727," 172:06:42.22030",0.0000,,,-2859303.1274,4649101.2370,3289135.3407,0:0:0
18,pt17,3483083.0457,1224238.1269,35.0055," 31:14:40.84282"," 121:35:32.85727",35.0055,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:33.0,2019-12-25 14:31:33.0,2019-12-25 06:31:33.0,2019-12-25 06:31:33.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:57"," 146:41:07.37"," -00:36:36"," -00:29:24"," 107:54:36.00"," 31:14:40.85881"," 121:35:32.86447",35.0055,742.0717," 172:06:42.33917",0.0000,,,-2859303.1250,4649101.2321,3289135.3363,0:0:0
19,pt18,3483083.0490,1224238.1255,35.0085," 31:14:40.84293"," 121:35:32.85723",35.0085,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:34.0,2019-12-25 14:31:34.0,2019-12-25 06:31:34.0,2019-12-25 06:31:34.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:57"," 146:40:31.37"," -00:36:36"," -00:29:24"," 107:54:00.00"," 31:14:40.85891"," 121:35:32.86443",35.0085,742.0751," 172:06:42.08083",0.0000,,,-2859303.1244,4649101.2334,3289135.3407,0:0:0
20,pt19,3483083.0486,1224238.1267,35.0015," 31:14:40.84292"," 121:35:32.85727",35.0015,,,,,,,1.5125,0.0070,0.0080,0.0106,0.0240,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:31:35.0,2019-12-25 14:31:35.0,2019-12-25 06:31:35.0,2019-12-25 06:31:35.0,,1.0,33,18,1.8000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:46:34"," 146:13:47.51"," -00:36:36"," -00:28:48"," 108:01:48.00"," 31:14:40.85890"," 121:35:32.86447",35.0015,742.0745," 172:06:42.38902",0.0000,,,-2859303.1224,4649101.2279,3289135.3367,0:0:0
