序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
1,pt0,3483083.0591,1224238.1246,35.0075," 31:14:40.84326"," 121:35:32.85722",35.0075,,,,,,,1.5125,0.0070,0.0090,0.0114,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:16:44.0,2019-12-25 14:16:44.0,2019-12-25 06:16:44.0,2019-12-25 06:16:44.0,,1.0,33,19,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:01"," 147:25:02.99"," -00:37:48"," -00:31:12"," 107:52:48.00"," 31:14:40.85924"," 121:35:32.86442",35.0075,929.4849," 46:38:23.28791",0.0000,,,-2859303.1211,4649101.2283,3289135.3488,0:0:0
2,pt1,3483083.0565,1224238.1210,35.0025," 31:14:40.84318"," 121:35:32.85708",35.0025,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:16:45.0,2019-12-25 14:16:45.0,2019-12-25 06:16:45.0,2019-12-25 06:16:45.0,,2.0,33,19,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:49:01"," 147:25:02.99"," -00:37:48"," -00:31:12"," 107:52:48.00"," 31:14:40.85916"," 121:35:32.86428",35.0025,929.4893," 46:38:23.41146",0.0000,,,-2859303.1163,4649101.2277,3289135.3442,0:0:0
3,pt2,3483083.0563,1224238.1263,35.0055," 31:14:40.84317"," 121:35:32.85728",35.0055,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:16:46.0,2019-12-25 14:16:46.0,2019-12-25 06:16:46.0,2019-12-25 06:16:46.0,,2.0,33,19,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:48:29"," 148:49:01.81"," -00:36:36"," -00:31:48"," 107:49:48.00"," 31:14:40.85915"," 121:35:32.86448",35.0055,929.4855," 46:38:22.59102",0.0000,,,-2859303.1222,4649101.2274,3289135.3453,0:0:0
4,pt3,3483083.0549,1224238.1269,35.0085," 31:14:40.84312"," 121:35:32.85730",35.0085,,,,,,,1.5125,0.0070,0.0090,0.0114,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:16:47.0,2019-12-25 14:16:47.0,2019-12-25 06:16:47.0,2019-12-25 06:16:47.0,,1.0,33,19,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:47:42"," 147:40:44.80"," -00:36:36"," -00:30:36"," 107:46:48.00"," 31:14:40.85910"," 121:35:32.86450",35.0085,929.4861," 46:38:22.26466",0.0000,,,-2859303.1244,4649101.2299,3289135.3456,0:0:0
5,pt4,3483083.0562,1224238.1287,35.0095," 31:14:40.84315"," 121:35:32.85737",35.0095,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:16:48.0,2019-12-25 14:16:48.0,2019-12-25 06:16:48.0,2019-12-25 06:16:48.0,,2.0,33,19,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:48:02"," 149:33:23.63"," -00:36:00"," -00:31:48"," 108:06:00.00"," 31:14:40.85914"," 121:35:32.86457",35.0095,929.4839," 46:38:22.19086",0.0000,,,-2859303.1261,4649101.2292,3289135.3471,0:0:0
6,pt5,3483083.0597,1224238.1278,35.0015," 31:14:40.84327"," 121:35:32.85734",35.0015,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:16:49.0,2019-12-25 14:16:49.0,2019-12-25 06:16:49.0,2019-12-25 06:16:49.0,,2.0,33,19,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:47:42"," 147:10:44.80"," -00:36:36"," -00:30:36"," 107:16:48.00"," 31:14:40.85925"," 121:35:32.86455",35.0015,929.4821," 46:38:22.89186",0.0000,,,-2859303.1210,4649101.2221,3289135.3460,0:0:0
7,pt6,3483083.0599,1224238.1254,34.9945," 31:14:40.84328"," 121:35:32.85725",34.9945,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:16:50.0,2019-12-25 14:16:50.0,2019-12-25 06:16:50.0,2019-12-25 06:16:50.0,,2.0,33,19,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:48:33"," 148:31:05.56"," -00:37:12"," -00:31:12"," 108:31:48.00"," 31:14:40.85927"," 121:35:32.86446",34.9945,929.4837," 46:38:23.29071",0.0000,,,-2859303.1158,4649101.2181,3289135.3427,0:0:0
8,pt7,3483083.0590,1224238.1273,35.0005," 31:14:40.84325"," 121:35:32.85732",35.0005,,,,,,,1.5125,0.0070,0.0090,0.0114,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:16:51.0,2019-12-25 14:16:51.0,2019-12-25 06:16:51.0,2019-12-25 06:16:51.0,,1.0,33,19,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:47:19"," 147:08:30.34"," -00:36:36"," -00:30:00"," 107:48:00.00"," 31:14:40.85923"," 121:35:32.86452",35.0005,929.4830," 46:38:22.86464",0.0000,,,-2859303.1203,4649101.2219,3289135.3449,0:0:0
9,pt8,3483083.0571,1224238.1273,35.0005," 31:14:40.84319"," 121:35:32.85732",35.0005,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:16:52.0,2019-12-25 14:16:52.0,2019-12-25 06:16:52.0,2019-12-25 06:16:52.0,,2.0,33,19,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:47:19"," 147:16:18.34"," -00:36:36"," -00:30:00"," 107:55:48.00"," 31:14:40.85917"," 121:35:32.86452",35.0005,929.4843," 46:38:22.56381",0.0000,,,-2859303.1207,4649101.2229,3289135.3433,0:0:0
10,pt9,3483083.0568,1224238.1270,35.0055," 31:14:40.84318"," 121:35:32.85730",35.0055,,,,,,,1.5125,0.0080,0.0090,0.0120,0.0230,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 14:16:53.0,2019-12-25 14:16:53.0,2019-12-25 06:16:53.0,2019-12-25 06:16:53.0,,2.0,33,19,1.7000,10,RTCM33GREC," 31:14:60.00000"," 121:36:00.00000",30.7980,0.0000," 00:47:11"," 149:17:34.13"," -00:35:24"," -00:31:12"," 107:54:00.00"," 31:14:40.85916"," 121:35:32.86451",35.0055,929.4848," 46:38:22.55151",0.0000,,,-2859303.1227,4649101.2268,3289135.3456,0:0:0
