序号,点名,N,E,Z,B,L,H,未倾斜改正N,未倾斜改正E,未倾斜改正Z,未倾斜改正B,未倾斜改正L,未倾斜改正H,天线高,σN,σE,HRMS,σZ,目标高,量高类型,天线类型,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H,里程,竖直倾角,倾斜向量方位角,倾斜分量X,倾斜分量Y,倾斜X轴方位角,当地B,当地L,当地H,基站距离,基站方位,偏距,语音文件,图片文件,空间直角X,空间直角Y,空间直角Z,测量时长
11,pt10,3483083.0463,1224238.1181,35.0025," 31:14:40.84286"," 121:35:32.85694",35.0025,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:10:59.0,2019-12-25 12:10:59.0,2019-12-25 04:10:59.0,2019-12-25 04:10:59.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:28"," 38:09:50.60"," -00:47:24"," -00:28:48"," 06:52:48.00"," 31:14:40.85884"," 121:35:32.86414",35.0025,742.0734," 172:06:39.93987",0.0000,,,-2859303.1159,4649101.2339,3289135.3357,0:0:0
12,pt11,3483083.0470,1224238.1169,35.0065," 31:14:40.84289"," 121:35:32.85690",35.0065,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:00.0,2019-12-25 12:11:00.0,2019-12-25 04:11:00.0,2019-12-25 04:11:00.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:22"," 36:38:24.86"," -00:48:00"," -00:27:36"," 06:44:24.00"," 31:14:40.85887"," 121:35:32.86410",35.0065,742.0743," 172:06:39.65158",0.0000,,,-2859303.1165,4649101.2371,3289135.3385,0:0:0
13,pt12,3483083.0460,1224238.1193,35.0115," 31:14:40.84285"," 121:35:32.85699",35.0115,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:01.0,2019-12-25 12:11:01.0,2019-12-25 04:11:01.0,2019-12-25 04:11:01.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:47"," 38:23:26.98"," -00:47:24"," -00:29:24"," 06:34:48.00"," 31:14:40.85883"," 121:35:32.86419",35.0115,742.0730," 172:06:40.27588",0.0000,,,-2859303.1211,4649101.2400,3289135.3401,0:0:0
14,pt13,3483083.0475,1224238.1206,35.0185," 31:14:40.84289"," 121:35:32.85704",35.0185,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:02.0,2019-12-25 12:11:02.0,2019-12-25 04:11:02.0,2019-12-25 04:11:02.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:09"," 37:24:40.79"," -00:47:24"," -00:28:12"," 06:39:36.00"," 31:14:40.85888"," 121:35:32.86424",35.0185,742.0744," 172:06:40.66843",0.0000,,,-2859303.1249,4649101.2438,3289135.3449,0:0:0
15,pt14,3483083.0486,1224238.1199,35.0115," 31:14:40.84293"," 121:35:32.85702",35.0115,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:03.0,2019-12-25 12:11:03.0,2019-12-25 04:11:03.0,2019-12-25 04:11:03.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:59"," 37:24:54.61"," -00:48:00"," -00:28:48"," 06:27:00.00"," 31:14:40.85891"," 121:35:32.86422",35.0115,742.0755," 172:06:40.53178",0.0000,,,-2859303.1210,4649101.2385,3289135.3423,0:0:0
16,pt15,3483083.0473,1224238.1168,35.0055," 31:14:40.84290"," 121:35:32.85690",35.0055,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0180,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:04.0,2019-12-25 12:11:04.0,2019-12-25 04:11:04.0,2019-12-25 04:11:04.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:09"," 37:19:52.79"," -00:47:24"," -00:28:12"," 06:34:48.00"," 31:14:40.85888"," 121:35:32.86410",35.0055,742.0746," 172:06:39.62570",0.0000,,,-2859303.1159,4649101.2363,3289135.3382,0:0:0
17,pt16,3483083.0471,1224238.1182,35.0105," 31:14:40.84289"," 121:35:32.85695",35.0105,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:05.0,2019-12-25 12:11:05.0,2019-12-25 04:11:05.0,2019-12-25 04:11:05.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:28"," 38:00:50.60"," -00:47:24"," -00:28:48"," 06:43:48.00"," 31:14:40.85887"," 121:35:32.86415",35.0105,742.0742," 172:06:40.02035",0.0000,,,-2859303.1195,4649101.2393,3289135.3405,0:0:0
18,pt17,3483083.0481,1224238.1188,35.0095," 31:14:40.84292"," 121:35:32.85698",35.0095,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:06.0,2019-12-25 12:11:06.0,2019-12-25 04:11:06.0,2019-12-25 04:11:06.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:47"," 38:02:26.98"," -00:47:24"," -00:29:24"," 06:13:48.00"," 31:14:40.85890"," 121:35:32.86418",35.0095,742.0751," 172:06:40.22359",0.0000,,,-2859303.1193,4649101.2378,3289135.3408,0:0:0
19,pt18,3483083.0450,1224238.1185,35.0095," 31:14:40.84282"," 121:35:32.85696",35.0095,,,,,,,1.5125,0.0060,0.0070,0.0092,0.0180,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:07.0,2019-12-25 12:11:07.0,2019-12-25 04:11:07.0,2019-12-25 04:11:07.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:09"," 37:18:04.79"," -00:47:24"," -00:28:12"," 06:33:00.00"," 31:14:40.85880"," 121:35:32.86416",35.0095,742.0721," 172:06:40.00695",0.0000,,,-2859303.1197,4649101.2395,3289135.3382,0:0:0
20,pt19,3483083.0454,1224238.1185,35.0095," 31:14:40.84283"," 121:35:32.85696",35.0095,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:08.0,2019-12-25 12:11:08.0,2019-12-25 04:11:08.0,2019-12-25 04:11:08.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:54:51"," 36:49:21.53"," -00:47:24"," -00:27:36"," 06:36:36.00"," 31:14:40.85882"," 121:35:32.86416",35.0095,742.0725," 172:06:40.03302",0.0000,,,-2859303.1196,4649101.2392,3289135.3386,0:0:0
21,pt20,3483083.0470,1224238.1181,35.0085," 31:14:40.84289"," 121:35:32.85695",35.0085,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:09.0,2019-12-25 12:11:09.0,2019-12-25 04:11:09.0,2019-12-25 04:11:09.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:54:51"," 36:29:33.53"," -00:47:24"," -00:27:36"," 06:16:48.00"," 31:14:40.85887"," 121:35:32.86415",35.0085,742.0742," 172:06:39.97597",0.0000,,,-2859303.1184,4649101.2379,3289135.3395,0:0:0
22,pt21,3483083.0448,1224238.1187,35.0125," 31:14:40.84281"," 121:35:32.85696",35.0125,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0170,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:10.0,2019-12-25 12:11:10.0,2019-12-25 04:11:10.0,2019-12-25 04:11:10.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:04"," 36:01:08.59"," -00:48:00"," -00:27:00"," 06:39:36.00"," 31:14:40.85879"," 121:35:32.86417",35.0125,742.0719," 172:06:40.06877",0.0000,,,-2859303.1213,4649101.2416,3289135.3396,0:0:0
23,pt22,3483083.0464,1224238.1179,35.0115," 31:14:40.84286"," 121:35:32.85694",35.0115,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0180,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:11.0,2019-12-25 12:11:11.0,2019-12-25 04:11:11.0,2019-12-25 04:11:11.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:28"," 38:06:14.60"," -00:47:24"," -00:28:48"," 06:49:12.00"," 31:14:40.85885"," 121:35:32.86414",35.0115,742.0736," 172:06:39.90236",0.0000,,,-2859303.1197,4649101.2405,3289135.3405,0:0:0
24,pt23,3483083.0479,1224238.1189,35.0115," 31:14:40.84291"," 121:35:32.85698",35.0115,,,,,,,1.5125,0.0060,0.0070,0.0092,0.0180,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:12.0,2019-12-25 12:11:12.0,2019-12-25 04:11:12.0,2019-12-25 04:11:12.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:54:33"," 35:56:52.81"," -00:47:24"," -00:27:00"," 06:16:48.00"," 31:14:40.85889"," 121:35:32.86418",35.0115,742.0750," 172:06:40.22077",0.0000,,,-2859303.1202,4649101.2393,3289135.3417,0:0:0
25,pt24,3483083.0475,1224238.1171,35.0075," 31:14:40.84290"," 121:35:32.85691",35.0075,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0180,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:13.0,2019-12-25 12:11:13.0,2019-12-25 04:11:13.0,2019-12-25 04:11:13.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:54:51"," 37:19:57.53"," -00:47:24"," -00:27:36"," 07:07:12.00"," 31:14:40.85888"," 121:35:32.86411",35.0075,742.0747," 172:06:39.73453",0.0000,,,-2859303.1171,4649101.2375,3289135.3394,0:0:0
26,pt25,3483083.0493,1224238.1178,35.0085," 31:14:40.84296"," 121:35:32.85694",35.0085,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0180,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:14.0,2019-12-25 12:11:14.0,2019-12-25 04:11:14.0,2019-12-25 04:11:14.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:40"," 36:48:56.20"," -00:48:00"," -00:28:12"," 06:22:48.00"," 31:14:40.85894"," 121:35:32.86414",35.0085,742.0764," 172:06:39.99184",0.0000,,,-2859303.1177,4649101.2370,3289135.3414,0:0:0
27,pt26,3483083.0464,1224238.1197,35.0045," 31:14:40.84286"," 121:35:32.85700",35.0045,,,,,,,1.5125,0.0060,0.0060,0.0085,0.0180,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:15.0,2019-12-25 12:11:15.0,2019-12-25 04:11:15.0,2019-12-25 04:11:15.0,,1.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:16"," 38:46:07.23"," -00:46:48"," -00:29:24"," 06:37:48.00"," 31:14:40.85884"," 121:35:32.86420",35.0045,742.0733," 172:06:40.38348",0.0000,,,-2859303.1181,4649101.2346,3289135.3367,0:0:0
28,pt27,3483083.0473,1224238.1187,35.0065," 31:14:40.84289"," 121:35:32.85697",35.0065,,,,,,,1.5125,0.0060,0.0070,0.0092,0.0180,1.4300,斜高(S),Hi-Target:iRTK5,1,RTK固定解,2019-12-25 12:11:16.0,2019-12-25 12:11:16.0,2019-12-25 04:11:16.0,2019-12-25 04:11:16.0,,2.0,34,23,1.3000,10,RTCM32_GGB," 31:14:16.80550"," 121:35:34.78077",30.6214,0.0000," 00:55:09"," 37:02:28.79"," -00:47:24"," -00:28:12"," 06:17:24.00"," 31:14:40.85887"," 121:35:32.86417",35.0065,742.0743," 172:06:40.16406",0.0000,,,-2859303.1181,4649101.2361,3289135.3386,0:0:0
